City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,narsaq,60.9167,-46.05,23.22,93,94,3.38,GL,1675556382
74,puerto baquerizo moreno,-0.9,-89.6,79.36,73,51,6.93,EC,1675556382
75,puerto ayora,-0.7393,-90.3518,79.56,92,58,8.01,EC,1675556383
76,tuy hoa,13.0833,109.3,74.14,85,99,2.68,VN,1675556383
77,hithadhoo,-0.6,73.0833,81.25,71,72,15.61,MV,1675556383
78,iqaluit,63.7506,-68.5145,-33.07,65,75,15.99,CA,1675556384
79,klaksvik,62.2266,-6.589,40.12,79,58,29.3,FO,1675556384
80,tagusao,9.1924,117.8141,79.25,79,68,4.7,PH,1675556384
81,fortuna,40.5982,-124.1573,61.14,64,75,23.02,US,1675556385
82,lisakovsk,52.5369,62.4936,-5.71,100,39,7.58,KZ,1675556385
83,akdepe,42.0551,59.3788,33.89,83,15,10.25,TM,1675556385
84,humaita,-7.5061,-63.0208,74.35,94,72,1.66,BR,1675556386
85,ribnitz-damgarten,54.25,12.4667,27.09,100,39,5.77,DE,1675556386
86,cherskiy,68.75,161.3,-35.84,100,96,2.46,RU,1675556387
87,vila franca do campo,37.7167,-25.4333,55.81,85,2,6.11,PT,1675556387
88,japura,-0.3167,102.35,73.54,97,100,1.21,ID,1675556388
89,ponta do sol,32.6667,-17.1,63.23,50,27,8.52,PT,1675556388
90,mataura,-46.1927,168.8643,69.1,81,100,3.2,NZ,1675556388
91,nanortalik,60.1432,-45.2371,25.32,70,98,22.1,GL,1675556389
92,starodzhereliyevskaya,45.476,38.2968,33.39,97,90,6.4,RU,1675556389
93,nsanje,-16.92,35.262,73.85,85,79,1.74,MW,1675556390
94,wajid,3.8093,43.2471,73.9,29,15,12.91,SO,1675556390
95,kemijarvi,66.7131,27.4306,4.08,98,100,3.29,FI,1675556390
96,doha,25.2867,51.5333,62.58,65,0,4.61,QA,1675556237
97,saint george,37.1041,-113.5841,60.44,31,0,4.61,US,1675556392
98,lagos,6.5833,3.75,80.24,83,60,8.05,NG,1675555800
99,barcelos,41.5388,-8.6151,47.84,68,0,4.79,PT,1675556393
100,pevek,69.7008,170.3133,-35.1,100,94,2.33,RU,1675556393
101,acapulco,16.8634,-99.8901,84.02,61,0,9.22,MX,1675556394
102,loreto,22.2667,-101.9667,68.94,23,32,0.76,MX,1675556394
103,saldanha,-33.0117,17.9442,65.19,97,94,13.56,ZA,1675556394
104,saint-pierre,-21.3393,55.4781,76.68,83,0,4.61,RE,1675556305
105,jiuquan,39.7432,98.5174,23.83,44,69,4.99,CN,1675556395
106,new norfolk,-42.7826,147.0587,69.93,43,9,5.01,AU,1675556395
107,bartica,6.4,-58.6167,79.12,98,62,2.91,GY,1675556396
108,skhisma,35.2667,25.7167,52.84,73,44,18.21,GR,1675556206
109,hofn,64.2539,-15.2082,33.35,65,69,5.66,IS,1675556396
110,kedrovyy,56.1667,91.8167,-8.99,99,100,1.68,RU,1675556397
111,georgetown,5.4112,100.3354,78.73,85,20,5.75,MY,1675556318
